date,state_x,cases,deaths,state_y,anxiety,cough,depression,fever,generalized_anxiety_disorder,nausea,State,State Code,Region,Division
2020-01-21,Washington,1,0,US-WA,9.72,8.85,6.25,5.33,1.37,2.4,Washington,WA,West,Pacific
2020-01-22,Washington,1,0,US-WA,9.73,8.4,6.24,5.18,1.37,2.39,Washington,WA,West,Pacific
2020-01-23,Washington,1,0,US-WA,9.46,8.18,6.17,5.06,1.32,2.39,Washington,WA,West,Pacific
2020-01-24,Illinois,1,0,US-IL,7.22,8.23,4.45,4.66,1.04,1.97,Illinois,IL,Midwest,East North Central
2020-01-24,Washington,1,0,US-WA,8.52,7.95,5.57,4.83,1.14,2.23,Washington,WA,West,Pacific
2020-01-25,California,1,0,US-CA,7.64,10.04,4.68,5.81,0.93,2.27,California,CA,West,Pacific
2020-01-25,Illinois,1,0,US-IL,6.98,8.27,4.24,5.04,0.92,2.14,Illinois,IL,Midwest,East North Central
2020-01-25,Washington,1,0,US-WA,8.19,8.2,5.49,5.14,1.07,2.52,Washington,WA,West,Pacific
2020-01-26,Arizona,1,0,US-AZ,7.56,10.48,4.72,5.87,0.91,2.09,Arizona,AZ,West,Mountain
2020-01-26,California,2,0,US-CA,7.54,9.82,4.82,5.62,0.91,2.1,California,CA,West,Pacific
2020-01-26,Illinois,1,0,US-IL,7.24,7.82,4.54,5.14,0.93,2.09,Illinois,IL,Midwest,East North Central
2020-01-26,Washington,1,0,US-WA,8.54,8.11,5.76,5.26,1.06,2.33,Washington,WA,West,Pacific
2020-01-27,Arizona,1,0,US-AZ,8.22,10.32,4.97,6.14,1.15,2.18,Arizona,AZ,West,Mountain
2020-01-27,California,2,0,US-CA,8.54,9.91,5.16,5.86,1.14,2.11,California,CA,West,Pacific
2020-01-27,Illinois,1,0,US-IL,8.09,8.15,5.03,5.39,1.17,2.12,Illinois,IL,Midwest,East North Central
2020-01-27,Washington,1,0,US-WA,9.52,8.55,6.12,5.38,1.29,2.32,Washington,WA,West,Pacific
2020-01-28,Arizona,1,0,US-AZ,8.38,10.45,5.28,6.06,1.24,2.25,Arizona,AZ,West,Mountain
2020-01-28,California,2,0,US-CA,8.58,10.14,5.27,5.91,1.17,2.1,California,CA,West,Pacific
2020-01-28,Illinois,1,0,US-IL,8.2,8.32,5.07,5.62,1.16,2.1,Illinois,IL,Midwest,East North Central
2020-01-28,Washington,1,0,US-WA,9.26,8.24,6.18,5.3,1.3,2.34,Washington,WA,West,Pacific
2020-01-29,Arizona,1,0,US-AZ,8.52,10.12,5.21,5.74,1.21,2.19,Arizona,AZ,West,Mountain
2020-01-29,California,2,0,US-CA,8.8,9.94,5.24,5.8,1.16,2.08,California,CA,West,Pacific
2020-01-29,Illinois,1,0,US-IL,8.28,8.29,5.08,5.39,1.16,1.99,Illinois,IL,Midwest,East North Central
2020-01-29,Washington,1,0,US-WA,9.95,8.3,6.45,5.28,1.4,2.36,Washington,WA,West,Pacific
2020-01-30,Arizona,1,0,US-AZ,8.41,10.22,5.14,5.5,1.16,2.15,Arizona,AZ,West,Mountain
2020-01-30,California,2,0,US-CA,8.57,10.3,5.03,5.74,1.14,2.03,California,CA,West,Pacific
2020-01-30,Illinois,2,0,US-IL,8.0,8.82,4.87,5.49,1.11,1.97,Illinois,IL,Midwest,East North Central
2020-01-30,Washington,1,0,US-WA,9.35,8.76,5.97,5.21,1.27,2.3,Washington,WA,West,Pacific
2020-01-31,Arizona,1,0,US-AZ,7.48,9.34,4.56,5.25,1.02,1.96,Arizona,AZ,West,Mountain
2020-01-31,California,3,0,US-CA,7.64,9.54,4.56,5.59,0.98,2.0,California,CA,West,Pacific
2020-01-31,Illinois,2,0,US-IL,7.19,8.15,4.36,5.27,0.98,1.94,Illinois,IL,Midwest,East North Central
2020-01-31,Washington,1,0,US-WA,8.42,8.11,5.48,4.94,1.12,2.29,Washington,WA,West,Pacific
2020-02-01,Arizona,1,0,US-AZ,7.04,9.55,4.46,5.42,0.87,2.08,Arizona,AZ,West,Mountain
2020-02-01,California,3,0,US-CA,7.47,9.93,4.56,5.8,0.9,2.15,California,CA,West,Pacific
2020-02-01,Illinois,2,0,US-IL,6.78,8.56,4.28,5.49,0.86,2.15,Illinois,IL,Midwest,East North Central
2020-02-01,Massachusetts,1,0,US-MA,6.66,9.65,4.21,5.68,0.87,2.03,Massachusetts,MA,Northeast,New England
2020-02-01,Washington,1,0,US-WA,8.07,8.05,5.35,4.78,1.03,2.25,Washington,WA,West,Pacific
2020-02-02,Arizona,1,0,US-AZ,7.41,8.98,4.67,5.43,0.89,2.08,Arizona,AZ,West,Mountain
2020-02-02,California,6,0,US-CA,7.69,9.36,4.79,5.51,0.91,2.08,California,CA,West,Pacific
2020-02-02,Illinois,2,0,US-IL,6.94,8.16,4.36,5.6,0.87,2.13,Illinois,IL,Midwest,East North Central
2020-02-02,Massachusetts,1,0,US-MA,6.98,8.97,4.52,5.77,0.86,2.07,Massachusetts,MA,Northeast,New England
2020-02-02,Washington,1,0,US-WA,8.43,7.72,5.54,4.88,0.98,2.33,Washington,WA,West,Pacific
2020-02-03,Arizona,1,0,US-AZ,8.29,9.84,5.2,5.63,1.11,2.19,Arizona,AZ,West,Mountain
2020-02-03,California,6,0,US-CA,8.51,9.59,5.22,5.58,1.15,2.13,California,CA,West,Pacific
2020-02-03,Illinois,2,0,US-IL,8.16,8.71,4.96,5.75,1.23,2.25,Illinois,IL,Midwest,East North Central
2020-02-03,Massachusetts,1,0,US-MA,8.01,9.63,4.79,5.88,1.11,2.14,Massachusetts,MA,Northeast,New England
