state,date,anxiety,cough,depression,fever,generalized_anxiety_disorder,nausea,State,State Code,Region,Division
US-AK,2020-01-01,8.13,9.64,5.58,5.95,1.06,2.75,Alaska,AK,West,Pacific
US-AK,2020-01-02,9.21,10.41,6.74,6.33,1.58,3.4,Alaska,AK,West,Pacific
US-AK,2020-01-03,8.31,9.58,5.21,5.66,1.11,2.84,Alaska,AK,West,Pacific
US-AK,2020-01-04,7.87,9.53,5.32,4.91,1.07,2.55,Alaska,AK,West,Pacific
US-AK,2020-01-05,7.75,9.58,5.5,4.9,0.89,2.96,Alaska,AK,West,Pacific
US-AK,2020-01-06,9.01,9.3,5.7,5.27,1.23,2.8,Alaska,AK,West,Pacific
US-AK,2020-01-07,9.54,8.88,6.07,5.55,1.15,2.87,Alaska,AK,West,Pacific
US-AK,2020-01-08,8.84,8.68,6.01,5.14,1.29,2.27,Alaska,AK,West,Pacific
US-AK,2020-01-09,9.1,8.38,6.32,5.23,1.27,2.34,Alaska,AK,West,Pacific
US-AK,2020-01-10,8.1,7.87,5.5,4.79,1.21,2.66,Alaska,AK,West,Pacific
US-AK,2020-01-11,7.52,7.95,5.2,4.66,,2.21,Alaska,AK,West,Pacific
US-AK,2020-01-12,7.74,7.88,5.65,4.55,1.46,2.7,Alaska,AK,West,Pacific
US-AK,2020-01-13,8.92,7.77,6.0,4.96,1.47,2.19,Alaska,AK,West,Pacific
US-AK,2020-01-14,9.51,8.7,6.62,5.42,1.31,2.37,Alaska,AK,West,Pacific
US-AK,2020-01-15,9.32,7.87,5.4,5.0,1.17,3.17,Alaska,AK,West,Pacific
US-AK,2020-01-16,9.82,7.79,6.49,5.3,1.43,2.5,Alaska,AK,West,Pacific
US-AK,2020-01-17,7.88,7.16,4.96,4.65,0.94,2.12,Alaska,AK,West,Pacific
US-AK,2020-01-18,7.49,7.91,4.86,4.59,1.05,2.76,Alaska,AK,West,Pacific
US-AK,2020-01-19,7.92,7.68,6.15,4.34,0.81,2.52,Alaska,AK,West,Pacific
US-AK,2020-01-20,9.05,8.44,5.83,5.74,1.57,2.41,Alaska,AK,West,Pacific
US-AK,2020-01-21,9.41,8.39,6.12,6.09,1.69,2.78,Alaska,AK,West,Pacific
US-AK,2020-01-22,8.92,7.41,6.14,5.37,1.36,2.39,Alaska,AK,West,Pacific
US-AK,2020-01-23,9.34,8.15,6.02,5.44,1.34,2.88,Alaska,AK,West,Pacific
US-AK,2020-01-24,8.17,7.64,5.56,4.67,1.23,2.3,Alaska,AK,West,Pacific
US-AK,2020-01-25,8.39,8.08,6.13,5.21,1.32,3.15,Alaska,AK,West,Pacific
US-AK,2020-01-26,8.05,8.29,5.19,4.4,1.39,2.79,Alaska,AK,West,Pacific
US-AK,2020-01-27,9.07,8.58,6.5,6.16,1.5,2.78,Alaska,AK,West,Pacific
US-AK,2020-01-28,9.84,8.28,6.67,5.75,1.55,2.59,Alaska,AK,West,Pacific
US-AK,2020-01-29,9.9,9.83,6.06,6.25,1.33,2.71,Alaska,AK,West,Pacific
US-AK,2020-01-30,10.39,9.25,5.74,5.96,1.64,2.57,Alaska,AK,West,Pacific
US-AK,2020-01-31,7.94,8.67,5.52,5.25,1.33,2.4,Alaska,AK,West,Pacific
US-AK,2020-02-01,8.18,8.66,5.18,5.36,1.15,2.91,Alaska,AK,West,Pacific
US-AK,2020-02-02,9.16,7.79,5.65,5.06,1.25,2.44,Alaska,AK,West,Pacific
US-AK,2020-02-03,10.48,8.48,6.46,5.7,1.52,2.68,Alaska,AK,West,Pacific
US-AK,2020-02-04,9.76,9.2,6.97,6.34,1.52,2.86,Alaska,AK,West,Pacific
US-AK,2020-02-05,10.07,8.87,6.81,6.15,1.4,2.67,Alaska,AK,West,Pacific
US-AK,2020-02-06,10.21,8.78,6.16,5.18,1.73,2.95,Alaska,AK,West,Pacific
US-AK,2020-02-07,8.27,7.61,5.43,4.82,1.1,2.54,Alaska,AK,West,Pacific
US-AK,2020-02-08,7.84,8.17,5.72,4.8,,2.77,Alaska,AK,West,Pacific
US-AK,2020-02-09,9.11,7.55,6.42,4.7,1.29,2.4,Alaska,AK,West,Pacific
US-AK,2020-02-10,9.69,7.99,7.18,5.49,1.63,2.92,Alaska,AK,West,Pacific
US-AK,2020-02-11,10.14,7.8,6.01,6.14,1.54,2.61,Alaska,AK,West,Pacific
US-AK,2020-02-12,10.28,7.87,6.72,5.26,1.27,2.41,Alaska,AK,West,Pacific
US-AK,2020-02-13,8.56,7.34,6.03,5.17,1.11,2.41,Alaska,AK,West,Pacific
US-AK,2020-02-14,7.98,6.99,5.49,4.41,1.07,2.23,Alaska,AK,West,Pacific
US-AK,2020-02-15,7.48,7.48,5.09,5.0,0.83,3.18,Alaska,AK,West,Pacific
US-AK,2020-02-16,7.56,7.87,5.57,5.5,1.13,2.44,Alaska,AK,West,Pacific
US-AK,2020-02-17,9.86,8.37,6.21,5.28,0.8,3.09,Alaska,AK,West,Pacific
US-AK,2020-02-18,9.7,7.95,6.22,5.4,0.71,2.52,Alaska,AK,West,Pacific
US-AK,2020-02-19,9.06,7.33,6.63,5.45,1.28,2.25,Alaska,AK,West,Pacific
US-AK,2020-02-20,9.35,7.58,6.1,4.89,0.64,2.47,Alaska,AK,West,Pacific
US-AK,2020-02-21,8.68,6.59,5.92,4.7,1.29,2.33,Alaska,AK,West,Pacific
US-AK,2020-02-22,7.94,7.14,5.32,4.33,1.2,2.7,Alaska,AK,West,Pacific
US-AK,2020-02-23,8.31,7.29,5.46,4.7,0.83,2.75,Alaska,AK,West,Pacific
US-AK,2020-02-24,9.19,8.23,5.69,4.49,1.04,2.31,Alaska,AK,West,Pacific
US-AK,2020-02-25,8.97,8.5,6.05,5.64,1.32,2.32,Alaska,AK,West,Pacific
US-AK,2020-02-26,9.54,9.09,5.67,6.49,1.4,2.39,Alaska,AK,West,Pacific
US-AK,2020-02-27,8.72,8.97,5.93,6.3,1.32,2.47,Alaska,AK,West,Pacific
